"","main_id","proj_id","eligibility","eudract_id","nct_id","crossregistration_check","registry","trial_title","trial_name","lead_institution","lead_country","has_publication","publication_doi","publication_pmid","publication_url","publication_date","identification_step","extraction_date_latest","publication_type","has_summary_results","summary_results_date","registration_date","start_date","completion_date","completion_year","primary_completion_date","primary_completion_year","days_cd_to_publication","days_pcd_to_publication","days_cd_to_summary","days_pcd_to_summary","days_reg_to_start","days_reg_to_cd","days_reg_to_pcd","days_reg_to_publication","recruitment_status","phase","enrollment","is_multicentric","is_multinational","main_sponsor","is_controlled","is_randomised","masking","intervention_type","center_size","single_sponsor","completion_date_type","registered_euctr","registered_ctgov","sponsor_type","phase_recoded","sample_size","time_to_registration","recruitment_status_recoded","is_rct"
"11","2009-010164-42","12","Eligible","2009-010164-42",NA,"None found","euctr","Ahtaan esinahan (fimoosin) hoito 0.1 % mometasonifuroaattivoiteella yli 6-v pojilla","","Oulu University Hospital","Finland","No",NA,NA,NA,NA,NA,2023-02-01,NA,"No",NA,2009-02-04,NA,2016-07-20,"2016",NA,NA,NA,NA,NA,NA,NA,2723,NA,NA,"Any Completed, none Prematurely Ended","4",50,"No","No","Only non-industry","Yes","Yes","Masking","Medicinal product","small","Oulu University Hospital",NA,"Yes","No","Only non-industry","IV","1-100",NA,"Completed","Yes"
"12","2009-012010-52","13","Eligible","2009-012010-52","NCT01274273","Identified in publication","euctr","Bevacizumab, Interleukin-2 and Interferon-alpha in metastathic renal cell carcinoma","mRCC","Aarhus University Hospital","Denmark","Yes","10.1080/0284186X.2018.1433324",29392960,"https://www.tandfonline.com/doi/full/10.1080/0284186X.2018.1433324","2018-02-02","Linked at the registration",2023-01-20,"Journal publication","Yes","2020-12-03",2009-05-28,2009-10-26,2017-05-31,"2017","2017-05-31","2017",247,247,1282,1282,151,2925,2925,3172,"Any Completed, none Prematurely Ended","2",118,"Yes","No","Only non-industry","Yes","Yes","Masking","Medicinal product","large","Aarhus University Hospital",NA,"Yes","Yes","Only non-industry","II","100-500","Prospective registration","Completed","Yes"
"13","2009-012203-26","14","Eligible","2009-012203-26",NA,"None found","euctr","Efficacy and Safety of Inhaled Budesonide in Very Preterm Infants at Risk for Bronchopulmonary Dysplasia","NEUROSIS","Oulu University Hospital","Finland","Yes","10.1056/NEJMoa1501917",26465983,"https://www.nejm.org/doi/10.1056/NEJMoa1501917","2015-10-15","Linked at the registration",2022-12-29,"Journal publication","Yes","2022-03-25",2009-06-22,2010-04-10,2016-07-31,"2016",NA,NA,-290,NA,2063,NA,292,2596,NA,2306,"Any Completed, none Prematurely Ended","3",863,"Yes","Yes","Only non-industry","Yes","Yes","Masking","Medicinal product","small","Oulu University Hospital",NA,"Yes","No","Only non-industry","III",">500","Prospective registration","Completed","Yes"
"14","2009-014821-17","15","Eligible","2009-014821-17","NCT01387295","Automatically identified","euctr","Intra-hepatic chemotherapy with oxaliplatin every second week in combination with systemic capecitabine and in patients with a HER2-positive tumour in combination with trastuzumab (Herceptin®) in patient with non-resectable liver metastases from breast cancer.
 
 A phase II trial in patients with limited extrahepatic disease.","","Herlev and Gentofte Hospital","Denmark","Yes","10.1016/j.breast.2018.12.002",30544058,"https://www.sciencedirect.com/science/article/abs/pii/S096097761830331X?via%3Dihub","2018-12-05","Linked at the registration",2023-01-05,"Journal publication","Yes","2019-10-05",2009-08-19,2009-10-01,2017-05-01,"2017","2017-05-01","2017",583,583,887,887,43,2812,2812,3395,"Any Completed, none Prematurely Ended","2",38,"Yes","No","Only non-industry","No","No","Open label","Medicinal product","large","Herlev and Gentofte Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Prospective registration","Completed","No"
"15","2009-014863-37","16","Eligible","2009-014863-37","NCT01387373","Automatically identified","euctr","Intra-hepatic chemotherapy with oxaliplatin every second week in combination with systemic capecitabine and in patients with a HER2-positive tu,our in combination with trastuzumab (Herceptin (R)) in patientswith non-resectable liver metasatses from breast cancer A phase II trial in patients without extrahepatic disease.","","Herlev and Gentofte Hospital","Denmark","Yes","10.1016/j.breast.2018.12.002",30544058,"https://doi.org/10.1016/j.breast.2018.12.002","2018-12-05","Linked at the registration",2023-01-05,"Journal publication","Yes","2019-10-05",2009-08-20,2009-10-01,2017-05-01,"2017","2017-05-01","2017",583,583,887,887,42,2811,2811,3394,"Any Completed, none Prematurely Ended","2",14,"Yes","No","Only non-industry","No","No","Open label","Medicinal product","large","Herlev and Gentofte Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Prospective registration","Completed","No"
"16","2009-017163-42","17","Eligible","2009-017163-42","NCT01197144","Automatically identified","euctr","Pain modulation in RA – Influence of adalimumab. A randomized, placebo-controlled study using functional magnetic resonance imaging","PARADE","Karolinska Institutet","Sweden","Yes","10.1097/j.pain.0000000000002387",34224497,"https://doi.org/10.1097/j.pain.0000000000002387","2022-03-01","Systematic Google search",2023-02-01,"Journal publication","No",NA,2010-03-23,NA,2017-03-22,"2017",NA,NA,1805,NA,NA,NA,NA,2556,NA,4361,"Any Completed, none Prematurely Ended","4",120,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Karolinska Institutet",NA,"Yes","Yes","Only non-industry","IV","100-500",NA,"Completed","Yes"
"17","2009-017752-28","18","Eligible","2009-017752-28","NCT01449032","Identified in publication","euctr","Stamcellebehandling af patienter med kronisk kranspulsåresygdom 
 MesenchYmal STROMAL CELL therapy in patients with chronic myocardial ischemia (MyStromalCell Trial)","MyStromalCell Trial","Copenhagen University Hospital","Denmark","Yes","10.1155/2017/5237063",29333165,"https://www.hindawi.com/journals/sci/2017/5237063/","2017-12-03","Linked at the registration",2023-02-10,"Journal publication","Yes","2019-07-29",2009-12-22,2010-04-01,2017-06-23,"2017","2017-06-23","2017",163,163,766,766,100,2740,2740,2903,"Any Completed, none Prematurely Ended","2",61,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Copenhagen University Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Prospective registration","Completed","Yes"
"18","2010-020782-24","19","Eligible","2010-020782-24",NA,"None found","euctr","The effects of dexmedetomidine on cardiac electrophysiology in adults","Dexmedetomidine and cardiac physiology","Helsinki University Hospital","Finland","Yes","10.3390/ph15111372",36355544,"https://doi.org/10.3390/ph15111372","2022-11-08","Systematic Google search",2023-02-02,"Journal publication","No",NA,2010-10-18,NA,2019-09-09,"2019",NA,NA,1156,NA,NA,NA,NA,3248,NA,4404,"Any Completed, none Prematurely Ended","4",15,"No","No","Only non-industry","No","No","Masking","Medicinal product","large","Helsinki University Hospital",NA,"Yes","No","Only non-industry","IV","1-100",NA,"Completed","No"
"19","2010-022307-22","20","Eligible","2010-022307-22","NCT01446328","Automatically identified","euctr","The Bergen-Stavanger-Innsbruck-Trondheim Study","Best Intro","Haukeland university hospital","Norway","Yes","10.1016/S2215-0366(20)30341-2",33069317,"https://doi.org/10.1016/S2215-0366(20)30341-2","2020-11-01","Systematic Google search",2023-01-21,"Journal publication","Yes","2021-12-21",2011-04-11,2011-06-30,2017-12-20,"2017",NA,NA,1047,NA,1462,NA,80,2445,NA,3492,"Any Completed, none Prematurely Ended","4",144,"Yes","Yes","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Haukeland university hospital",NA,"Yes","Yes","Only non-industry","IV","100-500","Prospective registration","Completed","Yes"
"20","2010-022318-22","21","Eligible","2010-022318-22",NA,"None found","euctr","Tsoledronaatti hoito paikallista kiihtynyttä  luunvaihdunta- oireyhtymää sairastavilla potilailla","Tsoledronaatti luunekroosin hoidossa","Oulu University Hospital","Finland","No",NA,NA,NA,NA,NA,2023-01-17,NA,"No",NA,2010-08-25,NA,2019-09-24,"2019",NA,NA,NA,NA,NA,NA,NA,3317,NA,NA,"Any Prematurely Ended","4",146,"Yes","No","Only non-industry","Yes","Yes","Masking","Medicinal product","small","Oulu University Hospital",NA,"Yes","No","Only non-industry","IV","100-500",NA,"Terminated","Yes"
"21","2010-022400-53","22","Eligible","2010-022400-53","NCT01172171","Identified in publication","euctr","Intracoronary administration of melatonin for patients with acute myocardial infarction: a placebo controlled randomized study.","IMPACT","Zealand University Hospital","Denmark","Yes","10.1007/s12265-017-9768-7",29027116,"https://doi.org/10.1007/s12265-017-9768-7","2017-10-12","Systematic Google search",2022-12-22,"Journal publication","Yes","2017-10-14",2010-12-01,2013-06-01,2016-06-28,"2016","2016-06-01","2016",471,498,473,500,913,2036,2009,2507,"Any Completed, none Prematurely Ended","2",48,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Zealand University Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Prospective registration","Completed","Yes"
"22","2010-022715-19","23","Eligible","2010-022715-19",NA,"None found","euctr","Inflammation och koagulation vid habituell abort","RSA/LMH-studien","Linkoeping University Hospital","Sweden","Yes","10.1038/s41598-019-48799-6",31444404,"https://www-nature-com.mime.uit.no/articles/s41598-019-48799-6","2019-08-23","Other",2023-01-19,"Journal publication","No",NA,2010-10-26,NA,2016-07-27,"2016",NA,NA,1122,NA,NA,NA,NA,2101,NA,3223,"Any Completed, none Prematurely Ended","4",80,"Yes","No","Only non-industry","Yes","No","Open label","Medicinal product","large","Linkoeping University Hospital",NA,"Yes","No","Only non-industry","IV","1-100",NA,"Completed","No"
"23","2010-023103-94","24","Eligible","2010-023103-94","NCT01455259","Automatically identified","euctr","PHASE I/IIa AdCD40L IMMUNOGENE THERAPY FOR MALIGNANT MELANOMA PATIENTS WITH DISSEMINATED DISEASE","002:CD40L","Uppsala University","Sweden","Yes","10.1038/bjc.2016.42",27031851,"https://doi.org/10.1038/bjc.2016.42","2016-03-31","Linked at the registration",2023-01-11,"Journal publication","Yes","2018-06-20",2011-03-25,2011-05-09,2016-01-28,"2016","2016-01-28","2016",63,63,874,874,45,1770,1770,1833,"Any Completed, none Prematurely Ended","1",30,"No","No","Only non-industry","No","No","Open label","Medicinal product","large","Uppsala University",NA,"Yes","Yes","Only non-industry","I","1-100","Prospective registration","Completed","No"
"24","2010-024488-42","25","Eligible","2010-024488-42","NCT01496690","Automatically identified","euctr","Pregabalin for anxiety comorbidity in patients with schizophrenia (PACS)
 - A Double-blinded Randomized Placebo Controlled Trial 
 
 
 Pregabalin til behandling af komorbid angst ved skizofreni
 - Et dobbeltblindet randomiseret placebo kontrolleret forsøg","PACS","Aarhus University","Denmark","Yes","10.1016/j.schres.2017.09.014",28919128,"https://doi.org/10.1016/j.schres.2017.09.014","2017-09-15","Linked at the registration",2023-02-10,"Journal publication","Yes","2021-09-30",2011-01-21,2012-02-01,2016-08-15,"2016","2016-08-15","2016",396,396,1872,1872,376,2033,2033,2429,"Any Completed, none Prematurely Ended","4",54,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Aarhus University",NA,"Yes","Yes","Only non-industry","IV","1-100","Prospective registration","Completed","Yes"
"25","2011-000273-31","26","Eligible","2011-000273-31","NCT01511146","Automatically identified","euctr","Intra-hepatic and systemic chemotherapy with or without antibody for patients with non-resectable liver metastasis from solid tumours","","Herlev and Gentofte Hospital","Denmark","Yes","10.1159/000499314",30999314,"https://doi.org/10.1159/000499314","2019-04-18","Linked at the registration",2023-01-18,"Journal publication","Yes","2020-09-16",2011-05-13,2011-06-30,2018-05-31,"2018","2018-05-31","2018",322,322,839,839,48,2575,2575,2897,"Any Prematurely Ended","2",70,"Yes","No","Only non-industry","No","No","Open label","Medicinal product","large","Herlev and Gentofte Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Prospective registration","Terminated","No"
"26","2011-000703-40","28","Eligible","2011-000703-40","NCT01397019","Automatically identified","euctr","Clinical trial with chemotherapy for patients with non-resectable, locally advanced pancreatic cancer and addition of chemo-radiotherapy for patients with borderline resectable pancreatic cancer. 
 DPSG - ”Danish Pancreatic cancer Study Group”","Folfirinox","Odense University Hospital","Denmark","No",NA,NA,NA,NA,NA,2023-02-04,NA,"Yes","2021-06-25",2011-06-21,2011-05-16,2016-02-15,"2016",NA,NA,NA,NA,1957,NA,-36,1700,NA,NA,"Any Completed, none Prematurely Ended","2",53,"Yes","No","Only non-industry","Yes","No","Masking","Medicinal product","large","Odense University Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Within 60 days after trial start","Completed","No"
"27","2011-000818-20","29","Eligible","2011-000818-20","NCT01390051","Identified in publication","euctr","Kan behandling med lavmolekylært heparin under graviditet med intrauterin væksthæmning øge fostervæksten?","","Aarhus University Hospital","Denmark","Yes","10.1016/j.thromres.2018.08.006",30114561,"https://www.sciencedirect.com/science/article/pii/S0049384818304547","2018-08-10","Linked at the registration",2023-01-03,"Journal publication","Yes","2020-12-27",2011-04-13,2011-11-11,2016-12-30,"2016","2016-12-30","2016",588,588,1458,1458,212,2088,2088,2676,"Any Completed, none Prematurely Ended","4",53,"No","No","Only non-industry","Yes","Yes","Masking","Medicinal product","large","Aarhus University Hospital",NA,"Yes","Yes","Only non-industry","IV","1-100","Prospective registration","Completed","Yes"
"28","2011-001452-11","30","Eligible","2011-001452-11","NCT01423929","Identified in publication","euctr","Supplemental Oxygen in Catherized Coronary Emergency Reperfusion","SOCCER","Skane University Hospital","Sweden","Yes","10.1111/echo.13599",28664557,"https://onlinelibrary.wiley.com/doi/full/10.1111/echo.13599","2017-06-29","Systematic Google search",2022-12-28,"Journal publication","No",NA,2011-04-12,NA,2016-02-15,"2016",NA,NA,500,NA,NA,NA,NA,1770,NA,2270,"Any Completed, none Prematurely Ended","4",100,"Yes","No","Only non-industry","Yes","Yes","Open label","Medicinal product","small","Skane University Hospital",NA,"Yes","Yes","Only non-industry","IV","1-100",NA,"Completed","Yes"
"29","2011-001481-18","31","Eligible","2011-001481-18","NCT01630941","Automatically identified","euctr","Uncemented total hip implant and subcutaneous injection of Denosumab for patients with osteoarthritis of the hip. A randomised double blind placebo controlled study on the effects on bone evaluated with DXA, PET/CT, and biochemical markers.","DATA","Uppsala Academic Hospital","Sweden","Yes","10.1002/jbmr.3883",31589776,"https://doi.org/10.1002/jbmr.3883","2019-11-04","Systematic Google search",2023-01-10,"Journal publication","Yes","2020-03-12",2011-08-19,2011-11-01,2017-03-30,"2017","2017-03-30","2017",949,949,1078,1078,74,2050,2050,2999,"Any Completed, none Prematurely Ended","2",64,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","small","Uppsala Academic Hospital",NA,"Yes","Yes","Only non-industry","II","1-100","Prospective registration","Completed","Yes"
"30","2011-002203-15","32","Eligible","2011-002203-15","NCT01587378","Automatically identified","euctr","Metformin treatment of pregnant PCOS women and prevention of  late miscarriages and preterm birth
 
 The PregMet 2 Study","PregMet 2","Norwegian University of Science and Technology","Norway","Yes","10.1016/S2213-8587(19)30002-6",30792154,"https://doi.org/10.1016/S2213-8587(19)30002-6","2019-02-18","Linked at the registration",2023-01-27,"Journal publication","Yes","2021-08-20",2012-04-26,2012-08-27,2017-10-31,"2017","2017-10-31","2017",475,475,1389,1389,123,2014,2014,2489,"Any Completed, none Prematurely Ended","4",487,"Yes","Yes","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Norwegian University of Science and Technology",NA,"Yes","Yes","Only non-industry","IV","100-500","Prospective registration","Completed","Yes"
"31","2011-002547-94","33","Eligible","2011-002547-94","NCT01372176","Automatically identified","euctr","Early Goal-Directed Nutrition in ICU Patients – EAT-ICU Trial 
 
 
 Tidlig målrettet ernæring til intensivpatienter - EAT-ICU Forsøget","EAT-ICU Trial 
 
 
 EAT-ICU Forsøget","Copenhagen University Hospital","Denmark","Yes","10.1007/s00134-017-4880-3",28936712,"https://doi.org/10.1007/s00134-017-4880-3","2017-09-22","Linked at the registration",2023-01-05,"Journal publication","Yes","2018-05-29",2011-06-06,2013-06-03,2016-10-15,"2016","2016-10-15","2016",342,342,591,591,728,1958,1958,2300,"Any Completed, none Prematurely Ended","4",203,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Copenhagen University Hospital",NA,"Yes","Yes","Only non-industry","IV","100-500","Prospective registration","Completed","Yes"
"32","2011-002630-39","34","Eligible","2011-002630-39","NCT01582165","Automatically identified","euctr","MICROVASCULAR RESISTANCE IN WOMEN WITH CHEST PAIN AND NO OR MINIMAL CORONARY ARTERY DISEASE","","Oslo University Hospital","Norway","Yes","10.1002/ccd.28157",30790446,"https://doi.org/10.1002/ccd.28157","2019-02-21","Systematic Google search",2023-02-02,"Journal publication","No",NA,2012-04-16,NA,2016-06-09,"2016",NA,NA,987,NA,NA,NA,NA,1515,NA,2502,"Any Completed, none Prematurely Ended","4",60,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Oslo University Hospital",NA,"Yes","Yes","Only non-industry","IV","1-100",NA,"Completed","Yes"
"33","2011-002677-30","35","Eligible","2011-002677-30",NA,"None found","euctr","Preclinical phase 0 micro dose study to evaluate the effekt of R-CHOP chemotherapy on cellular gene-expression.
 - Establisment of a preclinical model for in vivo evaluation of molecular biological efects.  
 
 
 Præklinisk fase 0 mikrodosisstudie til vurdering af R-CHOP kemoterapeutikas påvirkning af genudtryk
 - etablering af en præklinisk model til molekylær vurdering af biologisk effekt in vivo","R-CHOP phase 0 
 
 
 R-CHOP fase 0","Aalborg University Hospital","Denmark","No",NA,NA,NA,NA,NA,2022-12-30,NA,"Yes","2019-12-18",2011-08-09,2014-07-01,2016-05-11,"2016","2016-05-11","2016",NA,NA,1316,1316,1057,1737,1737,NA,"Any Prematurely Ended","1",9,"No","No","Only non-industry","Yes","No","Open label","Medicinal product","large","Aalborg University Hospital",NA,"Yes","No","Only non-industry","I","1-100","Prospective registration","Terminated","No"
"34","2011-002780-16","36","Eligible","2011-002780-16",NA,"None found","euctr","PROLOGUES - Prehospital lowering of glucose in Stroke","PROLOGUES","Karolinska Institutet","Sweden","Yes","10.1111/ane.13166",31518433,"https://doi.org/10.1111/ane.13166","2019-10-02","Systematic Google search",2023-01-17,"Journal publication","Yes","2021-04-07",2012-04-03,2013-05-01,2018-05-31,"2018","2018-05-31","2018",489,489,1042,1042,393,2249,2249,2738,"Any Completed, none Prematurely Ended","2",19,"No","No","Only non-industry","Yes","Yes","Open label","Medicinal product","large","Karolinska Institutet",NA,"Yes","No","Only non-industry","II","1-100","Prospective registration","Completed","Yes"
"35","2011-003564-72","38","Eligible","2011-003564-72","NCT01941771","Identified in publication","euctr","A Randomised phase II study with the combination of Xeloda (Capecitabine) plus Navelbine Oral ( Vinorelbine) day 1 and day 8 every 3. week versus Xeloda plus Navelbine Oral given metronimic as 1. or 2. line chemotherapy to patients with HER2 negative local metastatic breastcancer.","XeNa","Aarhus University Hospital;Aarhus University","Denmark","Yes","10.1080/0284186x.2020.1851045",33259244,"https://doi.org/10.1080/0284186x.2020.1851045","2020-12-01","Linked at the registration",2023-02-02,"Journal publication","Yes","2021-08-21",2012-01-13,2012-01-02,2019-12-11,"2019",NA,NA,356,NA,619,NA,-11,2889,NA,3245,"Any Completed, none Prematurely Ended","2",120,"Yes","No","Industry or mixed","Yes","Yes","Masking","Medicinal product","large","Aarhus University Hospital",NA,"Yes","Yes","Industry or mixed","II","100-500","Within 60 days after trial start","Completed","Yes"
